Title,Filename,Date,Source,URL
"Remarks at a Town Hall Meeting in Portsmouth, New Hampshire",2015-12-29-clinton-speech,12/29/15,UCSB Presidency Project,http://www.presidency.ucsb.edu/ws/index.php?pid=111415
"Remarks at a Campaign Rally in Marshalltown, Iowa",2016-1-26-clinton-speech,1/26/16,UCSB Presidency Project,http://www.presidency.ucsb.edu/ws/index.php?pid=111414
Remarks in Des Moines Following the Iowa Caucus,2016-2-1-clinton-speech,2/1/16,UCSB Presidency Project,http://www.presidency.ucsb.edu/ws/index.php?pid=111439
"NEEDS FIXING-Remarks at the CNN Democratic Presidential Town Hall in Derry, New Hampshire",2016-2-3-clinton-speech,2/3/16,UCSB Presidency Project,http://www.presidency.ucsb.edu/ws/index.php?pid=111596
"Remarks at the AIPAC Policy Conference in Washington, DC",2016-3-21-clinton-speech,3/21/16,UCSB Presidency Project,http://www.presidency.ucsb.edu/ws/index.php?pid=116600
"Address Accepting the Presidential Nomination at the Democratic National Convention in Philadelphia, Pennsylvania",2016-7-28-clinton-speech,7/28/16,UCSB Presidency Project,http://www.presidency.ucsb.edu/ws/index.php?pid=118051
"In Springfield, Hillary Clinton Aims to Bridge Divides in America",2016-7-13-clinton-speech,7/13/16,HillaryClinton.com,https://www.hillaryclinton.com/briefing/updates/2016/07/13/in-springfield-hillary-clinton-aims-to-bridge-divides-in-america/
"Remarks on Trump’s Prejudice and Paranoia in Reno, NV",2016-8-25-clinton-speech,8/25/16,HillaryClinton.com,https://www.hillaryclinton.com/speeches/remarks-on-trumps-prejudice-and-paranoia-in-reno-nv/
"In Commerce City, Hillary Clinton Vows to Strengthen Colorado’s Economy and Protect Public Lands",2016-8-3-clinton-speech,8/3/16,HillaryClinton.com,https://www.hillaryclinton.com/briefing/updates/2016/08/04/in-commerce-city-hillary-clinton-vows-to-strengthen-colorados-economy-and-protect-public-lands/
Read Hillary Clinton’s Speech Touting ‘American Exceptionalism’,2016-8-31-clinton-speech,8/31/16,Time.com,http://time.com/4474619/read-hillary-clinton-american-legion-speech/
Remarks on criminal justice and immigration reform in Washington D.C.,2016-8-5-clinton-speech,8/5/16,HillaryClinton.com,https://www.hillaryclinton.com/speeches/remarks-on-criminal-justice-and-immigration-reform-in-washington-d-c/
"Remarks on small businesses and creating jobs in St. Petersburg, FL",2016-8-8-clinton-speech,8/8/16,HillaryClinton.com,https://www.hillaryclinton.com/speeches/remarks-small-businesses-and-creating-jobs-in-st-petersburg-fl/
